n_qubits,n_layers,family,sre_mean,sre_std
10,42,random,5.425778655340629,2.521601629951579
10,44,random,5.534460737078584,2.491469894383184
10,46,random,5.627078564347966,2.593217244315105
10,48,random,5.634839603113277,2.5797801967054874
10,50,random,5.824174410658223,2.5981175686352214
10,52,random,5.732418127198304,2.679306078391743
10,54,random,5.763660954665393,2.8670715293347153
10,56,random,5.78817494597286,2.7197613092579807
10,58,random,6.119014087612076,2.4229525690160876
10,60,random,6.372518024370074,2.402901061940184
10,62,random,5.826437185864363,2.8684795964883394
10,64,random,5.974851770113621,2.7880285135265863
10,66,random,6.160137476274477,2.698180945581071
10,68,random,6.364179942786161,2.3398181054075717
10,70,random,5.757820343226195,2.9264009046879353
10,72,random,6.222795361078211,2.6153373824243706
10,74,random,6.219944138912917,2.7443446028288196
10,76,random,6.3197266701928205,2.605065259198913
10,78,random,6.126436634702342,2.6997844348610203
10,80,random,6.35532217903994,2.4500833778119255
10,82,random,6.283103641005499,2.7042994248189793
10,84,random,6.603377781914813,2.468149111955144
10,86,random,6.426116601787507,2.605851396793957
10,88,random,6.526480467447213,2.5643096863668604
10,90,random,6.39494532991999,2.6678624594330254
10,92,random,6.410229037888348,2.574284465285028
10,94,random,6.701117691057069,2.4428852277375483
10,96,random,6.743681109238948,2.353955578025908
10,98,random,6.651800715699792,2.4646911185942426
10,100,random,6.68877339581959,2.45439449123756
