n_qubits,n_layers,family,sre_mean,sre_std
8,150,clifford,6.009766292572022,0.016747518926946998
10,1,clifford,3.342241626224292e-15,1.2226294549226942e-15
10,2,clifford,0.22135334014892838,0.3460621744580974
10,4,clifford,0.6840055704116828,0.3941683920284736
10,6,clifford,1.131386152903239,0.4803769877686382
10,8,clifford,1.654816444714864,0.6978138971155055
10,10,clifford,2.0004034757614138,0.6169952944237286
10,12,clifford,2.5122047583262126,0.8828642310579821
10,14,clifford,2.538868459065755,1.070370846441147
10,16,clifford,3.3411263783772784,0.5074930138430108
10,18,clifford,3.60270627339681,0.8459404709632261
10,20,clifford,4.135181856155396,1.185161442276662
10,22,clifford,4.71449982325236,1.1801812450899678
10,24,clifford,5.081647300720215,1.3818607268197318
10,26,clifford,5.173255149523417,1.3864745868190305
10,28,clifford,5.560331249237061,0.9605990680772223
10,30,clifford,6.388922373453776,1.0095894578453175
10,32,clifford,6.248440249760946,1.405973862187526
10,34,clifford,6.88228193918864,0.8731480881007091
10,36,clifford,6.895258744557698,0.6078644057781654
10,38,clifford,6.855898475646972,1.0167929551760129
10,40,clifford,7.253447564442952,0.7706588931556644
10,42,clifford,7.517383734385173,0.30710807711982596
10,44,clifford,7.24661169052124,0.766254487770728
10,46,clifford,7.396329180399577,0.8590185950951978
10,48,clifford,7.653204822540284,0.38968790416211646
10,50,clifford,7.870030657450358,0.14980791745253674
10,52,clifford,7.84021848042806,0.18750589139929624
10,54,clifford,7.822430642445882,0.2697320569479194
10,56,clifford,7.926792589823405,0.0571661147157993
10,58,clifford,7.895206928253174,0.13917184927214682
10,60,clifford,7.784219614664713,0.5707836560550366
10,62,clifford,7.761624717712403,0.44694582750440925
10,64,clifford,7.8866423924764,0.1501653053106049
10,66,clifford,7.95912307103475,0.06952860322405195
10,68,clifford,7.974391905466716,0.03088652199863377
10,70,clifford,7.92749220530192,0.1597646452819575
10,72,clifford,7.953183269500732,0.05864790110863989
10,74,clifford,7.986379591623942,0.023570339291353538
10,76,clifford,7.971624978383383,0.03480608966772668
10,78,clifford,7.90453192392985,0.17936312760349216
10,80,clifford,7.887593873341879,0.172392728863122
10,82,clifford,7.982567087809245,0.052616377098511746
10,84,clifford,7.979617977142334,0.03881824531091192
10,86,clifford,7.98642053604126,0.03250212712442296
10,88,clifford,7.916704432169596,0.20165228707247912
10,90,clifford,7.974277718861898,0.07083116264495178
10,92,clifford,7.981538995107015,0.04605642277163968
10,94,clifford,7.976382446289063,0.04812047911755891
10,96,clifford,7.986111036936442,0.03270967187893428
10,98,clifford,7.999583657582601,0.0073441276156219325
10,100,clifford,7.979323959350586,0.03479408482079575
10,102,clifford,7.951266066233317,0.09802455568870982
10,104,clifford,7.988667138417562,0.039680216072818825
10,106,clifford,7.998700586954753,0.008701156083770511
10,108,clifford,7.985656007130941,0.03514178469406611
10,110,clifford,7.967451159159342,0.06360544614672552
10,112,clifford,7.99621353149414,0.022131364324298162
10,114,clifford,7.996543343861898,0.017238438291361763
10,116,clifford,7.993293412526449,0.0449893869005555
10,118,clifford,7.983008257548014,0.07864956214213491
10,120,clifford,7.992363802591959,0.02365719356154712
10,122,clifford,8.00287815729777,0.00997343321457531
10,124,clifford,7.999165757497152,0.009304642418853355
10,126,clifford,7.9960173924764,0.02113699825209481
10,128,clifford,8.00257749557495,0.006965641268185164
10,130,clifford,7.982930596669515,0.04983360713528699
10,132,clifford,7.994043699900309,0.025329852270476367
10,134,clifford,7.996001275380452,0.02097803671128039
10,136,clifford,7.973231410980224,0.11037423691122157
10,138,clifford,7.997479820251465,0.011281669595442887
10,140,clifford,8.003534984588622,0.0037628643326583972
10,142,clifford,8.001995849609376,0.0071677856727257435
10,144,clifford,8.000586287180584,0.015150326293739715
10,146,clifford,7.991702556610107,0.04011009506447171
10,148,clifford,8.000718911488852,0.0103981861544442
10,150,clifford,8.00298490524292,0.004089700683741108
