n_qubits,n_layers,family,sre_mean,sre_std,sre_min,sre_max
4,122,haar,2.284171628952026,0.10047428886308589,2.105656623840332,2.4411418437957764
4,122,quansistor,2.2274190823237103,0.17667900746350665,1.8237065076828003,2.4226698875427246
4,122,random,2.258937374750773,0.11401746618496814,2.041085958480835,2.4098780155181885
4,124,clifford,2.2573209126790363,0.0682614333887994,2.166792392730713,2.355360507965088
4,124,haar,2.3019294579823812,0.08969432490327431,2.1375837326049805,2.4390199184417725
4,124,quansistor,2.2947076320648194,0.10489701206439693,2.0641977787017822,2.413954973220825
4,124,random,2.225192666053772,0.13303712938504386,1.9610906839370728,2.422154426574707
4,126,clifford,2.2634148438771566,0.10109050175436281,2.1271309852600098,2.4407575130462646
4,126,haar,2.245878020922343,0.13220697994429373,1.95954430103302,2.4752354621887207
4,126,quansistor,2.209624107678731,0.15989671809825937,1.8532311916351318,2.378431797027588
4,126,random,2.2437159061431884,0.11977486283860189,1.9682564735412598,2.3776111602783203
4,128,clifford,2.225351397196452,0.11130937587182213,2.0615618228912354,2.4094924926757812
4,128,haar,2.2493221759796143,0.11991807083543647,2.0027973651885986,2.425341844558716
4,128,quansistor,2.268823480606079,0.10358728951588018,1.995593547821045,2.389808416366577
4,128,random,2.236008803049723,0.14345959699191807,1.8604066371917725,2.4383745193481445
4,130,clifford,2.269809357325236,0.09772775875612748,2.0463480949401855,2.401074171066284
4,130,haar,2.2548150221506753,0.11919138025255471,2.0309576988220215,2.369408130645752
4,130,quansistor,2.2079855600992837,0.13916604604499555,1.9481796026229858,2.4122314453125
4,130,random,2.1981032212575276,0.14863584448651235,1.8852417469024658,2.414247989654541
4,132,clifford,2.2759501775105795,0.11976418708601919,2.0057060718536377,2.417384386062622
4,132,haar,2.2298999945322673,0.10128991064704765,1.9939024448394775,2.3991103172302246
4,132,quansistor,2.293997351328532,0.09060403261998234,2.121384620666504,2.4049627780914307
4,132,random,2.301192839940389,0.12926754633876653,2.041576385498047,2.5451486110687256
4,134,clifford,2.2753167311350504,0.1249223849112371,2.023576498031616,2.4588217735290527
4,134,haar,2.280462551116943,0.08628990771724392,2.1165566444396973,2.4115614891052246
4,134,quansistor,2.3225321769714355,0.09788648901424402,2.1792991161346436,2.4767885208129883
4,134,random,2.2858426729838053,0.10544591608400204,2.091984987258911,2.433795928955078
4,136,clifford,2.2523089408874513,0.12565666035021558,1.976698875427246,2.3948781490325928
4,136,haar,2.2939908186594646,0.08467333360201514,2.133997917175293,2.424024820327759
4,136,quansistor,2.2550729592641194,0.09378279992704976,2.0506927967071533,2.390846014022827
4,136,random,2.241233142217,0.20723426260086508,1.5671112537384033,2.4228992462158203
4,138,clifford,2.3129001299540204,0.0910605950952195,2.0941760540008545,2.4468536376953125
4,138,haar,2.1691381851832072,0.18776267900921104,1.6243854761123657,2.4163622856140137
4,138,quansistor,2.2486260493596393,0.13762157232981828,1.8795522451400757,2.4149441719055176
4,138,random,2.262242619196574,0.1412813501467667,1.9595619440078735,2.499260902404785
4,140,clifford,2.2335029443105063,0.11212192814117787,1.932882308959961,2.3725666999816895
4,140,haar,2.273448419570923,0.11086534704596253,2.039907455444336,2.4214680194854736
